Unique Downloads,Mod Rewards,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,Cumulative Downloads,Cumulative Rewards,Year,Quarter,Month_Name,Month_Num,Downloads Outlier_IQR,Rewards Outlier_IQR,Downloads Outlier_ZScore,Rewards Outlier_ZScore,Downloads Outlier,Rewards Outlier,Month
327,327,327.0,327.0,327.0,327.0,,,,,327,327,2020,4,October,10,False,False,False,False,False,False,2020-10-01
2780,2780,1553.5,1553.5,1553.5,1553.5,1734.532934250601,1734.532934250601,750.1529051987768,750.1529051987768,3107,3107,2020,4,November,11,False,False,False,False,False,False,2020-11-01
7896,5609,3667.6666666666665,3667.6666666666665,2905.3333333333335,2905.3333333333335,3861.7877121008783,2643.2295271756734,184.02877697841728,101.76258992805755,11003,8716,2020,4,December,12,False,False,False,False,False,False,2020-12-01
9166,7898,6614.0,5042.25,5429.0,4153.5,3380.5165285796197,2563.743551917781,16.084093211752794,40.80941344268141,20169,16614,2021,1,January,1,False,False,False,False,False,False,2021-01-01
11253,9865,9438.333333333334,6284.4,7790.666666666667,5295.8,1694.9885938652615,2130.0291860285233,22.76892864935631,24.90503925044314,31422,26479,2021,1,February,2,False,False,False,False,False,False,2021-02-01
13658,12609,11359.0,7513.333333333333,10124.0,6514.666666666667,2247.875218956782,2366.1553203456447,21.3720785568293,27.81550937658388,45080,39088,2021,1,March,3,False,False,False,False,False,False,2021-03-01
17723,15653,14211.333333333334,10412.666666666666,12709.0,9069.0,3270.29942563878,2895.2954944184885,29.762776394786925,24.14148623998731,62803,54741,2021,2,April,4,False,False,False,False,False,False,2021-04-01
15074,12984,15485.0,12461.666666666666,13748.666666666666,10769.666666666666,2063.430880838997,1659.8253924233516,-14.94667945607403,-17.051044528205463,77877,67725,2021,2,May,5,False,False,False,False,False,False,2021-05-01
16633,15002,16476.666666666668,13917.833333333334,14546.333333333334,12335.166666666666,1331.4016423804396,1391.6229134838695,10.342311264428815,15.54220579174368,94510,82727,2021,2,June,6,False,False,False,False,False,False,2021-06-01
20955,19021,17554.0,15882.666666666666,15669.0,14189.0,3046.755815617654,3073.273336363038,25.984488667107563,26.78976136515132,115465,101748,2021,3,July,7,False,False,False,False,False,False,2021-07-01
43162,39802,26916.666666666668,21200.833333333332,24608.333333333332,19178.5,14233.870251387474,13310.661904403301,105.97470770699115,109.25293097103204,158627,141550,2021,3,August,8,False,False,False,False,False,False,2021-08-01
38410,35669,34175.666666666664,25326.166666666668,31497.333333333332,23021.833333333332,11693.369759540374,11000.66326788223,-11.009684444650391,-10.383900306517258,197037,177219,2021,3,September,9,False,False,False,False,False,False,2021-09-01
40809,38281,40793.666666666664,29173.833333333332,37917.333333333336,26793.166666666668,2376.037106893184,2090.3617709222876,6.245769330903417,7.322885418710934,237846,215500,2021,4,October,10,False,False,False,False,False,False,2021-10-01
43793,40990,41004.0,33960.333333333336,38313.333333333336,31460.833333333332,2696.792724700954,2660.6473523060813,7.3121125241981,7.076617643217253,281639,256490,2021,4,November,11,False,False,False,False,False,False,2021-11-01
43868,41022,42823.333333333336,38499.5,40097.666666666664,35797.5,1744.866852608911,1573.3608401550355,0.1712602470714586,0.07806782141985824,325507,297512,2021,4,December,12,False,False,False,False,False,False,2021-12-01
29725,27585,39128.666666666664,39961.166666666664,36532.333333333336,37224.833333333336,8143.900560132921,7748.634481851198,-32.23990152275007,-32.75559455901711,355232,325097,2022,1,January,1,False,False,False,False,False,False,2022-01-01
26853,24761,33482.0,37243.0,31122.666666666668,34718.0,9108.4489898116,8688.575506568002,-9.661900756938602,-10.23744788834512,382085,349858,2022,1,February,2,False,False,False,False,False,False,2022-02-01
32584,29862,29720.666666666668,36272.0,27402.666666666668,33750.166666666664,2865.5024573943924,2555.383402414089,21.342121923062596,20.600945034530117,414669,379720,2022,1,March,3,False,False,False,False,False,False,2022-03-01
33145,29888,30860.666666666668,34994.666666666664,28170.333333333332,32351.333333333332,3482.057485644558,2952.5978956392632,1.7217039037564552,0.08706717567477096,447814,409608,2022,2,April,4,False,False,False,False,False,False,2022-04-01
54150,49378,39959.666666666664,36720.833333333336,36376.0,33749.333333333336,12292.389935782763,11260.06980440175,63.373057776436866,65.21011777301928,501964,458986,2022,2,May,5,False,False,False,False,False,False,2022-05-01
55794,51915,47696.333333333336,38708.5,43727.0,35564.833333333336,12628.604845086149,12051.868444353351,3.0360110803324014,5.137915670946569,557758,510901,2022,2,June,6,False,False,False,False,False,False,2022-06-01
48193,44391,52712.333333333336,41786.5,48561.333333333336,38365.833333333336,3999.2454705023188,3827.904431060603,-13.623328673334045,-14.492921121063274,605951,555292,2022,3,July,7,False,False,False,False,False,False,2022-07-01
44718,41431,49568.333333333336,44764.0,45912.333333333336,41144.166666666664,5664.635940052399,5405.03518335759,-7.210590749693935,-6.668018291996125,650669,596723,2022,3,August,8,False,False,False,False,False,False,2022-08-01
40571,38207,44494.0,46095.166666666664,41343.0,42535.0,3815.934092722253,3092.939055332337,-9.273670557717251,-7.781612802008153,691240,634930,2022,3,September,9,False,False,False,False,False,False,2022-09-01
38538,36937,41275.666666666664,46994.0,38858.333333333336,43709.833333333336,3149.6851165367834,2316.7186564909916,-5.010968425722806,-3.3239982202214247,729778,671867,2022,4,October,10,False,False,False,False,False,False,2022-10-01
43393,41459,40834.0,45201.166666666664,38867.666666666664,42390.0,2438.161807591939,2332.269567038389,12.597955264933303,12.242466903105287,773171,713326,2022,4,November,11,False,False,False,False,False,False,2022-11-01
39519,37718,40483.333333333336,42488.666666666664,38704.666666666664,40023.833333333336,2567.140497388744,2417.0755746011405,-8.927707233885652,-9.023372488482595,812690,751044,2022,4,December,12,False,False,False,False,False,False,2022-12-01
