Month,Downloads,Mod Rewards,Your Reward,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,YourReward MA_3,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,YourReward Growth %,Downloads YoY Growth %,Rewards YoY Growth %,Rewards per Download,YourReward per Download,YourReward Share %,Rolling Correlation,Cumulative Downloads,Cumulative Rewards,Cumulative YourReward,Year,Quarter,Month_Name,Month_Num,Downloads Outlier,Rewards Outlier,YourReward Outlier
2020-10-01,327,327,327,327.0,327.0,327.0,327.0,327.0,,,,,,,,1.0,1.0,100.0,,327,327,327,2020,4,October,10,False,False,False
2020-11-01,2780,2780,2780,1553.5,1553.5,1553.5,1553.5,1553.5,1734.532934250601,1734.532934250601,750.1529051987768,750.1529051987768,750.1529051987768,,,1.0,1.0,100.0,,3107,3107,3107,2020,4,November,11,False,False,False
2020-12-01,7896,5609,5609,3667.6666666666665,3667.6666666666665,2905.3333333333335,2905.3333333333335,2905.3333333333335,3861.7877121008783,2643.2295271756734,184.02877697841728,101.76258992805755,101.76258992805755,,,0.7103596757852076,0.7103596757852076,100.0,,11003,8716,8716,2020,4,December,12,False,False,False
2021-01-01,9166,7898,7898,6614.0,5042.25,5429.0,4153.5,5429.0,3380.5165285796197,2563.743551917781,16.084093211752794,40.80941344268141,40.80941344268141,,,0.8616626663757364,0.8616626663757364,100.0,,20169,16614,16614,2021,1,January,1,False,False,False
2021-02-01,11253,9865,9865,9438.333333333334,6284.4,7790.666666666667,5295.8,7790.666666666667,1694.9885938652615,2130.0291860285233,22.76892864935631,24.90503925044314,24.90503925044314,,,0.8766551141917711,0.8766551141917711,100.0,,31422,26479,26479,2021,1,February,2,False,False,False
2021-03-01,13658,12609,12609,11359.0,7513.333333333333,10124.0,6514.666666666667,10124.0,2247.875218956782,2366.1553203456447,21.3720785568293,27.81550937658388,27.81550937658388,,,0.9231951969541661,0.9231951969541661,100.0,0.9891860047319873,45080,39088,39088,2021,1,March,3,False,False,False
2021-04-01,17723,15653,15653,14211.333333333334,10412.666666666666,12709.0,9069.0,12709.0,3270.29942563878,2895.2954944184885,29.762776394786925,24.14148623998731,24.14148623998731,,,0.8832026180669187,0.8832026180669187,100.0,0.9901331706206914,62803,54741,54741,2021,2,April,4,False,False,False
2021-05-01,15074,12984,12984,15485.0,12461.666666666666,13748.666666666666,10769.666666666666,13748.666666666666,2063.430880838997,1659.8253924233516,-14.94667945607403,-17.051044528205463,-17.051044528205463,,,0.8613506700278626,0.8613506700278626,100.0,0.990250259783132,77877,67725,67725,2021,2,May,5,False,False,False
2021-06-01,16633,15002,15002,16476.666666666668,13917.833333333334,14546.333333333334,12335.166666666666,14546.333333333334,1331.4016423804396,1391.6229134838695,10.342311264428815,15.54220579174368,15.54220579174368,,,0.9019419226838213,0.9019419226838213,100.0,0.9943857441403744,94510,82727,82727,2021,2,June,6,False,False,False
2021-07-01,20955,19021,19021,17554.0,15882.666666666666,15669.0,14189.0,15669.0,3046.755815617654,3073.273336363038,25.984488667107563,26.78976136515132,26.78976136515132,,,0.9077069911715581,0.9077069911715581,100.0,0.9945639980610337,115465,101748,101748,2021,3,July,7,False,False,False
2021-08-01,43162,39802,39802,26916.666666666668,21200.833333333332,24608.333333333332,19178.5,24608.333333333332,14233.870251387474,13310.661904403301,105.97470770699115,109.25293097103204,109.25293097103204,,,0.9221537463509568,0.9221537463509568,100.0,0.9994941590454549,158627,141550,141550,2021,3,August,8,False,False,False
