Month,Unique Downloads,Downloads,Mod Rewards,Your Reward
Feb 2026,-,30375,30216,30216 
Jan 2026,-,34826,34668,34668 
Dec 2025,-,38470,38364,38364
Nov 2025,-,44487,44422,44422
Oct 2025,-,38332,38267,38267
Sep 2025,-,33281,33224,33224
Aug 2025,-,31906,31854,31854
Jul 2025,-,33149,33037,33037
Jun 2025,-,44106,43970,43970
May 2025,-,54348,54196,54196
Apr 2025,-,55143,54991,54991
Mar 2025,-,52050,51910,51910
Feb 2025,-,59790,59701,59701
Jan 2025,-,56692,56602,56602
Dec 2024,-,48556,48477,48477
Nov 2024,-,55103,54974,54974
Oct 2024,-,60127,59995,59995
Sep 2024,-,65379,65215,65215
Aug 2024,-,77014,76819,76819
Jul 2024,-,85461,85252,85252
Jun 2024,-,81571,81326,81326
May 2024,27899,60708,60269,60269
Apr 2024,22132,44487,44209,44209
Mar 2024,26323,79044,78593,78593
Feb 2024,25145,87359,86869,86869
Jan 2024,35922,105503,104948,104948
Dec 2023,41172,113373,112906,112906
Nov 2023,36717,117985,117424,117424
Oct 2023,47392,115350,114934,114934
Sep 2023,19881,61799,61186,61186
Aug 2023,10991,38678,37841,37841
Jul 2023,16349,48570,47735,47735
Jun 2023,11312,40020,39153,39153
May 2023,10194,36055,35090,35090
Apr 2023,7099,26524,25696,25696
Mar 2023,7306,27080,25906,25906
Feb 2023,7114,30029,28507,28507
Jan 2023,9426,36937,34329,34329
Dec 2022,9160,39519,37718,37718
Nov 2022,8785,43393,41459,41459
Oct 2022,9802,38538,36937,36937
Sep 2022,9959,40571,38207,38207
Aug 2022,11407,44718,41431,41431
Jul 2022,12306,48193,44391,44391
Jun 2022,13701,55794,51915,51915
May 2022,10760,54150,49378,49378
Apr 2022,7417,33145,29888,29888
Mar 2022,5644,32584,29862,29862
Feb 2022,5755,26853,24761,24761
Jan 2022,8266,29725,27585,27585
Dec 2021,9045,43868,41022,41022
Nov 2021,10339,43793,40990,40990
Oct 2021,10053,40809,38281,38281
Sep 2021,9493,38410,35669,35669
Aug 2021,12339,43162,39802,39802
Jul 2021,10231,20955,19021,19021
Jun 2021,6646,16633,15002,15002
May 2021,6572,15074,12984,12984
Apr 2021,7212,17723,15653,15653
Mar 2021,5901,13658,12609,12609
Feb 2021,4280,11253,9865,9865
Jan 2021,5126,9166,7898,7898
Dec 2020,3188,7896,5609,5609
Nov 2020,802,2780,2780,2780
Oct 2020,116,327,327,327
